ID;Survived;Pclass;Sex;Age;SibSp;Parch;Fare;Embarked;not_alone;Title;Age_Class
73;0;3;0;3;1;0;1;1;0;1;9
74;1;3;0;4;0;0;3;0;1;1;12
75;0;3;0;3;0;0;0;0;1;1;9
76;0;3;0;6;0;0;0;0;1;1;18
77;0;3;0;6;0;0;1;0;1;1;18
78;1;2;0;0;0;2;2;0;0;4;0
79;1;3;1;4;0;0;1;0;1;2;12
80;0;3;0;2;0;0;1;0;1;1;6
81;1;3;0;4;0;0;1;0;1;1;12
82;1;3;1;3;0;0;0;2;1;2;9
83;0;1;0;4;0;0;3;0;1;1;4
84;1;2;1;1;0;0;1;0;1;2;2
85;1;3;1;4;3;0;2;0;0;3;12
86;0;3;0;1;1;3;3;0;0;1;3
87;0;3;0;6;0;0;1;0;1;1;18
88;1;1;1;3;3;2;5;0;0;2;3
89;0;3;0;3;0;0;1;0;1;1;9
90;0;3;0;4;0;0;1;0;1;1;12
91;0;3;0;2;0;0;0;0;1;1;6
92;0;1;0;6;1;0;3;0;0;1;6
93;0;3;0;3;1;2;2;0;0;1;9
94;0;3;0;6;0;0;0;0;1;1;18
95;0;3;0;4;0;0;1;0;1;1;12
96;0;1;0;6;0;0;3;1;1;1;6
97;1;1;0;3;0;1;3;1;0;1;3
98;1;2;1;5;0;1;2;0;0;3;10
99;0;2;0;5;1;0;2;0;0;1;10
100;0;3;1;4;0;0;0;0;1;2;12
101;0;3;0;6;0;0;0;0;1;1;18
102;0;1;0;2;0;1;3;0;0;1;2
103;0;3;0;4;0;0;1;0;1;1;12
104;0;3;0;5;2;0;0;0;0;1;15
105;0;3;0;4;0;0;0;0;1;1;12
106;1;3;1;2;0;0;0;0;1;2;6
107;1;3;0;1;0;0;0;0;1;1;3
108;0;3;0;5;0;0;0;0;1;1;15
109;1;3;1;3;1;0;2;2;0;2;9
110;0;1;0;6;0;0;3;0;1;1;6
111;0;3;1;1;1;0;1;1;0;2;3
112;0;3;0;2;0;0;1;0;1;1;6
113;0;3;1;2;1;0;1;0;0;2;6
114;0;3;1;1;0;0;1;1;1;2;3
115;0;3;0;2;0;0;0;0;1;1;6
116;0;3;0;6;0;0;0;2;1;1;18
117;0;2;0;4;1;0;2;0;0;1;8
118;0;1;0;3;0;1;4;1;0;1;3
119;0;3;1;0;4;2;2;0;0;2;0
120;0;2;0;2;2;0;3;0;0;1;4
121;0;3;0;4;0;0;1;0;1;1;12
122;0;2;0;4;1;0;2;1;0;1;8
123;1;2;1;4;0;0;1;0;1;2;8
124;0;1;0;6;0;1;3;0;0;1;6
125;1;3;0;1;1;0;1;1;0;4;3
126;0;3;0;5;0;0;0;2;1;1;15
127;1;3;0;3;0;0;0;0;1;1;9
128;1;3;1;5;1;1;2;1;0;2;15
129;0;3;0;6;0;0;0;0;1;1;18
130;0;3;0;4;0;0;0;1;1;1;12
131;0;3;0;2;0;0;0;0;1;1;6
132;0;3;1;6;1;0;1;0;0;3;18
133;1;2;1;4;1;0;2;0;0;3;8
134;0;2;0;3;0;0;1;0;1;1;6
135;0;2;0;3;0;0;2;1;1;1;6
136;1;1;1;2;0;2;2;0;0;2;2
137;0;1;0;5;1;0;3;0;0;1;5
138;0;3;0;1;0;0;1;0;1;1;3
139;0;1;0;3;0;0;3;1;1;1;3
140;0;3;1;3;0;2;2;1;0;3;9
141;1;3;1;2;0;0;0;0;1;2;6
142;1;3;1;3;1;0;2;0;0;3;9
143;0;3;0;2;0;0;0;2;1;1;6
144;0;2;0;1;0;0;1;0;1;1;2
145;0;2;0;2;1;1;3;0;0;1;4
146;1;3;0;3;0;0;0;0;1;1;9
147;0;3;1;0;2;2;3;0;0;2;0
148;0;2;0;5;0;2;2;0;0;1;10
149;0;2;0;6;0;0;1;0;1;5;12
150;0;2;0;6;0;0;1;0;1;5;12
151;1;1;1;2;1;0;3;0;0;3;2
152;0;3;0;6;0;0;1;0;1;1;18
153;0;3;0;5;0;2;1;0;0;1;15
154;0;3;0;5;0;0;0;0;1;1;15
155;0;1;0;6;0;1;3;1;0;1;6
156;1;3;1;1;0;0;0;2;1;2;3
157;0;3;0;4;0;0;1;0;1;1;12
158;0;3;0;1;0;0;1;0;1;1;3
159;0;3;0;2;8;2;3;0;0;4;6
160;0;3;0;6;0;1;2;0;0;1;18
161;1;2;1;5;0;0;2;0;1;3;10
162;0;3;0;3;0;0;0;0;1;1;9
163;0;3;0;1;0;0;1;0;1;1;3
164;0;3;0;0;4;1;3;0;0;4;0
165;1;3;0;0;0;2;2;0;0;4;0
166;1;1;1;2;0;1;3;0;0;3;2
167;0;3;1;6;1;4;2;0;0;3;18
168;0;1;0;1;0;0;2;0;1;1;1
169;0;3;0;4;0;0;3;0;1;1;12
170;0;1;0;6;0;0;3;0;1;1;6
171;0;3;0;0;4;1;2;2;0;4;0
172;1;3;1;0;1;1;1;0;0;2;0
173;0;3;0;2;0;0;0;0;1;1;6
174;0;1;0;6;0;0;2;1;1;1;6
175;0;3;0;1;1;1;0;0;0;1;3
176;0;3;0;4;3;1;2;0;0;4;12
177;0;1;1;6;0;0;2;1;1;2;6
178;0;2;0;4;0;0;1;0;1;1;8
179;0;3;0;5;0;0;0;0;1;1;15
180;0;3;1;4;8;2;3;0;0;2;12
181;0;2;0;2;0;0;2;1;1;1;4
182;0;3;0;0;4;2;2;0;0;4;0
183;1;2;0;0;2;1;3;0;0;4;0
184;1;3;1;0;0;2;2;0;0;2;0
185;0;1;0;1;0;0;3;0;1;1;1
186;1;3;1;1;1;0;2;2;0;3;3
187;1;1;0;6;0;0;2;0;1;1;6
188;0;3;0;5;1;1;2;2;0;1;15
189;0;3;0;5;0;0;0;0;1;1;15
190;1;2;1;4;0;0;1;0;1;3;8
191;0;2;0;2;0;0;1;0;1;1;4
192;1;3;1;2;1;0;0;0;0;2;6
193;1;2;0;0;1;1;2;0;0;4;0
194;1;1;1;6;0;0;2;1;1;3;6
195;1;1;1;6;0;0;4;1;1;2;6
196;0;3;0;4;0;0;0;2;1;1;12
197;0;3;0;6;0;1;1;0;0;1;18
198;1;3;1;4;0;0;0;2;1;2;12
199;0;2;1;3;0;0;1;0;1;2;6
200;0;3;0;4;0;0;1;0;1;1;12
201;0;3;0;2;8;2;3;0;0;1;6
202;0;3;0;5;0;0;0;0;1;1;15
203;0;3;0;6;0;0;0;1;1;1;18
204;1;3;0;1;0;0;1;0;1;1;3
205;0;3;1;0;0;1;1;0;0;2;0
206;0;3;0;4;1;0;2;0;0;1;12
207;1;3;0;3;0;0;2;1;1;1;9
208;1;3;1;1;0;0;0;2;1;2;3
209;1;1;0;5;0;0;2;1;1;1;5
210;0;3;0;3;0;0;0;0;1;1;9
211;1;2;1;5;0;0;2;0;1;2;10
212;0;3;0;2;0;0;0;0;1;1;6
213;0;2;0;4;0;0;1;0;1;1;8
214;0;3;0;1;1;0;0;2;0;1;3
215;1;1;1;4;1;0;4;1;0;2;4
216;1;3;1;3;0;0;0;0;1;2;9
217;0;2;0;6;1;0;2;0;0;1;12
218;1;1;1;4;0;0;3;1;1;2;4
219;0;2;0;4;0;0;1;0;1;1;8
220;1;3;0;1;0;0;1;0;1;1;3
221;0;2;0;3;0;0;1;0;1;1;6
222;0;3;0;6;0;0;1;0;1;1;18
223;0;3;0;4;0;0;0;0;1;1;12
224;1;1;0;5;1;0;3;0;0;1;5
225;0;3;0;2;0;0;1;0;1;1;6
226;1;2;0;2;0;0;1;0;1;1;4
227;0;3;0;2;0;0;0;0;1;1;6
228;0;2;0;1;0;0;1;0;1;1;2
229;0;3;1;4;3;1;2;0;0;2;12
230;1;1;1;5;1;0;3;0;0;3;5
231;0;3;0;4;0;0;0;0;1;1;12
232;0;2;0;6;0;0;1;0;1;1;12
233;1;3;1;0;4;2;2;0;0;2;0
234;0;2;0;3;0;0;1;0;1;1;6
235;0;3;1;4;0;0;0;0;1;2;12
236;0;2;0;6;1;0;2;0;0;1;12
237;1;2;1;0;0;2;2;0;0;2;0
238;0;2;0;2;0;0;1;0;1;1;4
239;0;2;0;4;0;0;1;0;1;1;8
240;0;3;1;6;1;0;1;1;0;2;18
241;1;3;1;3;1;0;2;2;0;2;9
242;0;2;0;4;0;0;1;0;1;1;8
243;0;3;0;2;0;0;0;0;1;1;6
244;0;3;0;4;0;0;0;1;1;1;12
245;0;1;0;6;2;0;3;2;0;5;6
246;0;3;1;3;0;0;0;0;1;2;9
247;1;2;1;3;0;2;1;0;0;3;6
248;1;1;0;5;1;1;3;0;0;1;5
249;0;2;0;6;1;0;2;0;0;5;12
250;0;3;0;5;0;0;0;0;1;1;15
251;0;3;1;4;1;1;1;0;0;3;12
252;0;1;0;6;0;0;2;0;1;1;6
253;0;3;0;4;1;0;2;0;0;1;12
254;0;3;1;6;0;2;2;0;0;3;18
255;1;3;1;4;0;2;2;1;0;3;12
256;1;1;1;5;0;0;3;1;1;3;5
257;1;1;1;4;0;0;3;0;1;2;4
258;1;1;1;5;0;0;5;1;1;2;5
259;1;2;1;6;0;1;2;0;0;3;12
260;0;3;0;4;0;0;0;2;1;1;12
261;1;3;0;0;4;2;2;0;0;4;0
262;0;1;0;6;1;1;3;0;0;1;6
263;0;1;0;5;0;0;0;0;1;1;5
264;0;3;1;5;0;0;0;2;1;2;15
265;0;2;0;5;0;0;1;0;1;1;10
266;0;3;0;1;4;1;3;0;0;1;3
267;1;3;0;3;1;0;0;0;0;1;9
268;1;1;1;6;0;1;4;0;0;3;6
269;1;1;1;5;0;0;4;0;1;2;5
270;0;1;0;4;0;0;2;0;1;1;4
271;1;3;0;3;0;0;0;0;1;1;9
272;1;2;1;6;0;1;2;0;0;3;12
273;0;1;0;5;0;1;2;1;0;1;5
274;1;3;1;6;0;0;0;2;1;2;18
275;1;1;1;6;1;0;3;0;0;2;6
276;0;3;1;6;0;0;0;0;1;2;18
277;0;2;0;4;0;0;0;0;1;1;8
278;0;3;0;0;4;1;2;2;0;4;0
279;1;3;1;5;1;1;2;0;0;3;15
280;0;3;0;6;0;0;0;2;1;1;18
281;0;3;0;4;0;0;0;0;1;1;12
282;0;3;0;1;0;0;1;0;1;1;3
283;1;3;0;2;0;0;1;0;1;1;6
284;0;1;0;3;0;0;2;0;1;1;3
285;0;3;0;4;0;0;1;1;1;1;12
286;1;3;0;4;0;0;1;0;1;1;12
287;0;3;0;2;0;0;0;0;1;1;6
288;1;2;0;6;0;0;1;0;1;1;12
289;1;3;1;2;0;0;0;2;1;2;6
290;1;1;1;3;0;0;3;0;1;2;3
291;1;1;1;2;1;0;3;1;0;3;2
292;0;2;0;5;0;0;1;1;1;1;10
293;0;3;1;3;0;0;1;0;1;2;9
294;0;3;0;3;0;0;0;0;1;1;9
295;0;1;0;2;0;0;2;1;1;1;2
296;0;3;0;3;0;0;0;1;1;1;9
297;0;1;1;0;1;2;4;0;0;2;0
298;1;1;0;5;0;0;2;0;1;1;5
299;1;1;1;6;0;1;4;1;0;3;6
300;1;3;1;4;0;0;0;2;1;2;12
301;1;3;0;3;2;0;2;2;0;1;9
302;0;3;0;2;0;0;0;0;1;1;6
303;1;2;1;6;0;0;1;2;1;2;12
304;0;3;0;5;0;0;1;0;1;1;15
305;1;1;0;0;1;2;4;0;0;4;0
306;1;1;1;1;0;0;4;1;1;2;1
307;1;1;1;1;1;0;4;1;0;3;1
308;0;2;0;4;1;0;2;1;0;1;8
309;1;1;1;4;0;0;3;1;1;2;4
310;1;1;1;3;0;0;3;1;1;2;3
311;1;1;1;1;2;2;5;1;0;2;1
312;0;2;1;3;1;1;2;0;0;3;6
313;0;3;0;4;0;0;0;0;1;1;12
314;0;2;0;6;1;1;2;0;0;1;12
315;1;3;1;3;0;0;0;0;1;2;9
316;1;2;1;3;1;0;2;0;0;3;6
317;0;2;0;6;0;0;1;0;1;5;12
318;1;1;1;4;0;2;4;0;0;2;4
319;1;1;1;5;1;1;4;1;0;3;5
320;0;3;0;2;0;0;0;0;1;1;6
321;0;3;0;3;0;0;0;0;1;1;9
322;1;2;1;4;0;0;1;2;1;2;8
323;1;2;1;2;1;1;2;0;0;3;4
324;0;3;0;3;8;2;3;0;0;1;9
325;1;1;1;5;0;0;4;1;1;2;5
326;0;3;0;6;0;0;0;0;1;1;18
327;1;2;1;5;0;0;1;0;1;3;10
328;1;3;1;4;1;1;2;0;0;3;12
329;1;1;1;1;0;1;3;1;0;2;1
330;1;3;1;3;2;0;2;2;0;2;9
331;0;1;0;6;0;0;2;0;1;1;6
332;0;1;0;5;0;1;4;0;0;1;5
333;0;3;0;1;2;0;2;0;0;1;3
334;1;1;1;3;1;0;4;0;0;3;3
335;0;3;0;4;0;0;0;0;1;1;12
336;0;1;0;4;1;0;3;0;0;1;4
337;1;1;1;6;0;0;4;1;1;2;6
338;1;3;0;6;0;0;1;0;1;1;18
339;0;1;0;6;0;0;3;0;1;1;6
340;1;2;0;0;1;1;2;0;0;4;0
341;1;1;1;3;3;2;5;0;0;2;3
342;0;2;0;4;0;0;1;0;1;1;8
343;0;2;0;3;0;0;1;0;1;1;6
344;0;2;0;5;0;0;1;0;1;1;10
345;1;2;1;3;0;0;1;0;1;2;6
346;1;2;1;5;0;0;1;0;1;2;10
347;1;3;1;2;1;0;2;0;0;3;6
348;1;3;0;0;1;1;2;0;0;4;0
349;0;3;0;6;0;0;1;0;1;1;18
350;0;3;0;3;0;0;1;0;1;1;9
351;0;1;0;3;0;0;3;0;1;1;3
352;0;3;0;1;1;1;0;1;0;1;3
353;0;3;0;3;1;0;2;0;0;1;9
354;0;3;0;5;0;0;0;1;1;1;15
355;0;3;0;4;0;0;1;0;1;1;12
356;1;1;1;2;0;1;3;0;0;2;2
357;0;2;1;5;0;0;1;0;1;2;10
358;1;3;1;6;0;0;0;2;1;2;18
359;1;3;1;6;0;0;0;2;1;2;18
360;0;3;0;5;1;4;2;0;0;1;15
361;0;2;0;4;1;0;2;1;0;1;8
362;0;3;1;6;0;1;1;1;0;3;18
363;0;3;0;5;0;0;0;0;1;1;15
364;0;3;0;5;1;0;2;2;0;1;15
365;0;3;0;4;0;0;0;0;1;1;12
366;1;1;1;6;1;0;3;1;0;3;6
367;1;3;1;3;0;0;0;1;1;3;9
368;1;3;1;4;0;0;0;2;1;2;12
369;1;1;1;3;0;0;3;1;1;3;3
370;1;1;0;3;1;0;3;1;0;1;3
371;0;3;0;1;1;0;0;0;0;1;3
372;0;3;0;2;0;0;1;0;1;1;6
373;0;1;0;2;0;0;4;1;1;1;2
374;0;3;1;0;3;1;2;0;0;2;0
375;1;1;1;4;1;0;3;1;0;3;4
376;1;3;1;2;0;0;0;0;1;2;6
377;0;1;0;3;0;2;4;1;0;1;3
378;0;3;0;2;0;0;0;1;1;1;6
379;0;3;0;2;0;0;0;0;1;1;6
380;1;1;1;6;0;0;4;1;1;2;6
381;1;3;1;0;0;2;2;1;0;2;0
382;0;3;0;4;0;0;0;0;1;1;12
383;1;1;1;5;1;0;3;0;0;3;5
384;0;3;0;1;0;0;0;0;1;1;3
385;0;2;0;1;0;0;3;0;1;1;2
386;0;3;0;0;5;2;3;0;0;4;0
387;1;2;1;5;0;0;1;0;1;2;10
388;0;3;0;6;0;0;0;2;1;1;18
389;1;2;1;1;0;0;1;1;1;2;2
390;1;1;0;5;1;2;4;0;0;1;5
391;1;3;0;2;0;0;0;0;1;1;6
392;0;3;0;4;2;0;0;0;0;1;12
393;1;1;1;3;1;0;4;1;0;2;3
394;1;3;1;3;0;2;2;0;0;3;9
395;0;3;0;2;0;0;0;0;1;1;6
396;0;3;1;4;0;0;0;0;1;2;12
397;0;2;0;6;0;0;2;0;1;1;12
398;0;2;0;3;0;0;1;0;1;5;6
399;1;2;1;4;0;0;1;0;1;3;8
400;1;3;0;5;0;0;0;0;1;1;15
401;0;3;0;3;0;0;1;0;1;1;9
402;0;3;1;2;1;0;1;0;0;2;6
403;0;3;0;4;1;0;2;0;0;1;12
404;0;3;1;2;0;0;1;0;1;2;6
405;0;2;0;5;1;0;2;0;0;1;10
406;0;3;0;6;0;0;0;0;1;1;18
407;1;2;0;0;1;1;2;0;0;4;0
408;0;3;0;2;0;0;0;0;1;1;6
409;0;3;1;1;3;1;2;0;0;2;3
410;0;3;0;5;0;0;0;0;1;1;15
411;0;3;0;5;0;0;0;2;1;1;15
412;1;1;1;4;1;0;3;2;0;2;4
413;0;2;0;1;0;0;0;0;1;1;2
414;1;3;0;6;0;0;0;0;1;1;18
415;0;3;1;4;0;0;1;0;1;3;12
416;1;2;1;5;1;1;3;0;0;3;10
417;1;2;1;1;0;2;1;0;0;2;2
418;0;2;0;4;0;0;1;0;1;1;8
419;0;3;1;0;0;2;2;0;0;2;0
420;0;3;0;4;0;0;0;1;1;1;12
421;0;3;0;2;0;0;0;2;1;1;6
422;0;3;0;4;0;0;0;0;1;1;12
423;0;3;1;4;1;1;1;0;0;3;12
424;0;3;0;1;1;1;2;0;0;1;3
425;0;3;0;5;0;0;0;0;1;1;15
426;1;2;1;4;1;0;2;0;0;3;8
427;1;2;1;2;0;0;2;0;1;2;4
428;0;3;0;4;0;0;0;2;1;1;12
429;1;3;0;4;0;0;1;0;1;1;12
430;1;1;0;4;0;0;2;0;1;1;4
431;1;3;1;4;1;0;2;0;0;3;12
432;1;2;1;6;1;0;2;0;0;3;12
433;0;3;0;1;0;0;0;0;1;1;3
434;0;1;0;6;1;0;3;0;0;1;6
435;1;1;1;1;1;2;4;0;0;2;1
436;0;3;1;2;2;2;3;0;0;2;6
437;1;2;1;3;2;3;2;0;0;3;6
438;0;1;0;6;1;4;5;0;0;1;6
439;0;2;0;4;0;0;1;0;1;1;8
440;1;2;1;6;1;1;2;0;0;3;12
441;0;3;0;2;0;0;1;0;1;1;6
442;0;3;0;3;1;0;0;0;0;1;9
443;1;2;1;4;0;0;1;0;1;2;8
444;1;3;0;3;0;0;1;0;1;1;9
445;1;1;0;0;0;2;3;0;0;4;0
446;1;2;1;1;0;1;2;0;0;2;2
447;1;1;0;5;0;0;2;0;1;1;5
448;1;3;1;0;2;1;2;1;0;2;0
449;1;1;0;6;0;0;2;0;1;5;6
450;0;2;0;5;1;2;2;0;0;1;10
451;0;3;0;6;1;0;2;0;0;1;18
452;0;1;0;4;0;0;2;1;1;1;4
453;1;1;0;6;1;0;3;1;0;1;6
454;0;3;0;6;0;0;1;0;1;1;18
455;1;3;0;4;0;0;0;1;1;1;12
456;0;1;0;6;0;0;2;0;1;1;6
457;1;1;1;4;1;0;3;0;0;3;4
458;1;2;1;6;0;0;1;0;1;2;12
459;0;3;0;4;0;0;0;2;1;1;12
460;1;1;0;6;0;0;2;0;1;1;6
461;0;3;0;5;0;0;1;0;1;1;15
462;0;1;0;6;0;0;3;0;1;1;6
463;0;2;0;6;0;0;1;0;1;1;12
464;0;3;0;3;0;0;1;0;1;1;9
465;0;3;0;5;0;0;0;0;1;1;15
466;0;2;0;5;0;0;0;0;1;1;10
467;0;1;0;6;0;0;2;0;1;1;6
468;0;3;0;3;0;0;0;2;1;1;9
469;1;3;1;0;2;1;2;1;0;2;0
470;0;3;0;4;0;0;0;0;1;1;12
471;0;3;0;5;0;0;1;0;1;1;15
472;1;2;1;4;1;2;2;0;0;3;8
473;1;2;1;3;0;0;1;1;1;3;6
474;0;3;1;2;0;0;1;0;1;2;6
475;0;1;0;5;0;0;3;0;1;1;5
476;0;2;0;5;1;0;2;0;0;1;10
477;0;3;0;4;1;0;0;0;0;1;12
478;0;3;0;2;0;0;0;0;1;1;6
479;1;3;1;0;0;1;1;0;0;2;0
480;0;3;0;0;5;2;3;0;0;4;0
481;0;2;0;5;0;0;0;0;1;1;10
482;0;3;0;6;0;0;1;0;1;1;18
483;1;3;1;6;0;0;1;0;1;3;18
484;1;1;0;3;1;0;3;1;0;1;3
485;0;3;1;1;3;1;2;0;0;2;3
486;1;1;1;5;1;0;3;0;0;3;5
487;0;1;0;6;0;0;2;1;1;1;6
488;0;3;0;4;0;0;1;0;1;1;12
489;1;3;0;0;1;1;2;0;0;4;0
490;0;3;0;2;1;0;2;0;0;1;6
491;0;3;0;2;0;0;0;0;1;1;6
492;0;1;0;6;0;0;2;0;1;1;6
493;0;1;0;6;0;0;3;1;1;1;6
494;0;3;0;2;0;0;1;0;1;1;6
495;0;3;0;5;0;0;1;1;1;1;15
496;1;1;1;6;1;0;3;1;0;2;6
497;0;3;0;1;0;0;2;0;1;1;3
498;0;1;1;3;1;2;4;0;0;3;3
499;0;3;0;3;0;0;0;0;1;1;9
500;0;3;0;1;0;0;1;0;1;1;3
501;0;3;1;2;0;0;0;2;1;2;6
502;0;3;1;6;0;0;0;2;1;2;18
503;0;3;1;5;0;0;1;0;1;2;15
504;1;1;1;1;0;0;3;0;1;2;1
505;0;1;0;1;1;0;4;1;0;1;1
506;1;2;1;4;0;2;2;0;0;3;8
507;1;1;0;4;0;0;2;0;1;1;4
508;0;3;0;4;0;0;2;0;1;1;12
509;1;3;0;3;0;0;3;0;1;1;9
510;1;3;0;4;0;0;0;2;1;1;12
511;0;3;0;4;0;0;1;0;1;1;12
512;1;1;0;5;0;0;2;0;1;1;5
513;1;1;1;6;1;0;3;1;0;3;6
514;0;3;0;3;0;0;0;0;1;1;9
515;0;1;0;6;0;0;3;0;1;1;6
516;1;2;1;5;0;0;1;0;1;3;10
517;0;3;0;5;0;0;2;2;1;1;15
518;1;2;1;5;1;0;2;0;0;3;10
519;0;3;0;4;0;0;0;0;1;1;12
520;1;1;1;4;0;0;3;0;1;2;4
521;0;3;0;2;0;0;0;0;1;1;6
522;0;3;0;5;0;0;0;1;1;1;15
523;1;1;1;6;0;1;3;1;0;3;6
524;0;3;0;5;0;0;0;1;1;1;15
525;0;3;0;5;0;0;0;2;1;1;15
526;1;2;1;6;0;0;1;0;1;2;12
527;0;1;0;6;0;0;4;0;1;1;6
528;0;3;0;5;0;0;0;0;1;1;15
529;0;2;0;3;2;1;1;0;0;1;6
530;1;2;1;0;1;1;2;0;0;2;0
531;0;3;0;6;0;0;0;1;1;1;18
532;0;3;0;1;1;1;0;1;0;1;3
533;1;3;1;6;0;2;2;1;0;3;18
534;0;3;1;4;0;0;1;0;1;2;12
535;1;2;1;0;0;2;2;0;0;2;0
536;0;1;0;6;0;0;2;0;1;5;6
537;1;1;1;4;0;0;4;1;1;2;4
538;0;3;0;4;0;0;1;0;1;1;12
539;1;1;1;2;0;2;3;1;0;2;2
540;1;1;1;5;0;2;3;0;0;2;5
541;0;3;1;0;4;2;2;0;0;2;0
542;0;3;1;0;4;2;2;0;0;2;0
543;1;2;0;4;1;0;2;0;0;1;8
544;0;1;0;6;1;0;4;1;0;1;6
545;0;1;0;6;0;0;2;0;1;1;6
546;1;2;1;2;1;0;2;0;0;3;4
547;1;2;0;5;0;0;1;1;1;1;10
548;0;3;0;4;1;1;2;0;0;1;12
549;1;2;0;0;1;1;3;0;0;4;0
550;1;1;0;1;0;2;4;1;0;1;1
551;0;2;0;3;0;0;2;0;1;1;6
552;0;3;0;1;0;0;0;2;1;1;3
553;1;3;0;2;0;0;0;1;1;1;6
554;1;3;1;2;0;0;0;0;1;2;6
555;0;1;0;6;0;0;2;0;1;1;6
556;1;1;1;6;1;0;3;1;0;5;6
557;0;1;0;2;0;0;4;1;1;1;2
558;1;1;1;5;1;1;3;0;0;3;5
559;1;3;1;5;1;0;2;0;0;3;15
560;0;3;0;2;0;0;0;2;1;1;6
561;0;3;0;5;0;0;0;0;1;1;15
562;0;2;0;4;0;0;1;0;1;1;8
563;0;3;0;5;0;0;1;0;1;1;15
564;0;3;1;5;0;0;1;0;1;2;15
565;0;3;0;3;2;0;2;0;0;1;9
566;0;3;0;2;0;0;0;0;1;1;6
567;0;3;1;4;0;4;2;0;0;3;12
568;0;3;0;4;0;0;0;1;1;1;12
569;1;3;0;4;0;0;0;0;1;1;12
570;1;2;0;6;0;0;1;0;1;1;12
571;1;1;1;6;2;0;3;0;0;3;6
572;1;1;0;5;0;0;2;0;1;1;5
573;1;3;1;1;0;0;0;2;1;2;3
574;0;3;0;1;0;0;1;0;1;1;3
575;0;3;0;2;0;0;1;0;1;1;6
576;1;2;1;5;0;0;1;0;1;2;10
577;1;1;1;5;1;0;3;0;0;3;5
578;0;3;1;5;1;0;1;1;0;3;15
